SOURCE|DATE_OF_ACTION|OPER_TYPE|ACTION|CURRENCY|SR_CITY|SR_CODE|SR_COUNTRY|SR_NAME|SR_TYPE|FCMI|RCAT|TKT_COUNT|REP_DATE|SSR_FARE|SSR_SEAT_AMOUNT|SSR_NTBL_AMOUNT|SSR_XBAG_AMOUNT|SSR_WBAG_AMOUNT|SSR_CATERING_AMOUNT|FARE|PAX_FARE|DISCOUNT|TRANSACTION_FEE|TAX|SURCHARGE|CE_AMOUNT|TF_AMOUNT|SERVICE_FEE|PENALTY|SMS_FARE|OPTION_FARE|CASH_PAYMENT|CC_PAYMENT|EX_PAYMENT|DP_PAYMENT|GC_PAYMENT|MCO_PAYMENT|INV_PAYMENT|GRO_PAYMENT|EDD_PAYMENT|IDL_PAYMENT|FF_PAYMENT|BOH_PAYMENT|ISW_PAYMENT|SFT_PAYMENT|CQ_PAYMENT|MS_PAYMENT|GGP_PAYMENT|EP_PAYMENT|TP_PAYMENT|COMMISSION|MU_AMOUNT|VAT_AMOUNT|OTHER_PAYMENT|GAIN_LOSS_AMOUNT|LOC_SSR_SEAT_AMOUNT|LOC_SSR_NTBL_AMOUNT|LOC_SSR_XBAG_AMOUNT|LOC_SSR_WBAG_AMOUNT|LOC_SSR_CATERING_AMOUNT|LOC_FARE|LOC_PAX_FARE|LOC_DISCOUNT|LOC_TRANSACTION_FEE|LOC_TAX|LOC_SURCHARGE|LOC_CE_AMOUNT|LOC_TF_AMOUNT|LOC_SERVICE_FEE|LOC_PENALTY|LOC_SMS_FARE|LOC_OPTION_FARE|LOC_COMMISSION|LOC_MU_AMOUNT|LOC_CASH_PAYMENT|LOC_CC_PAYMENT|LOC_EX_PAYMENT|LOC_DP_PAYMENT|LOC_GC_PAYMENT|LOC_MCO_PAYMENT|LOC_INV_PAYMENT|LOC_GRO_PAYMENT|LOC_EDD_PAYMENT|LOC_IDL_PAYMENT|LOC_FF_PAYMENT|LOC_BOH_PAYMENT|LOC_ISW_PAYMENT|LOC_SFT_PAYMENT|LOC_CQ_PAYMENT|LOC_MS_PAYMENT|LOC_GGP_PAYMENT|LOC_EP_PAYMENT|LOC_TP_PAYMENT|LOC_OTHER_PAYMENT|LOC_GAIN_LOSS_AMOUNT
PAX|27-06-2024|DOM|Exchange|NGN|ABV|ABVTKT|NG|ABUJA TICKETING|OF|A|ACT|11|27-06-2024|0|0|0|0|0|0|265142|265142|0|1400|77388|720000|0|0|0|0|0|0|0|0|-1063930|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-8857|0|0|0|0|0|0|0|0|0|265142|265142|0|1400|77388|720000|0|0|0|0|0|0|-8857|0|0|0|-1063930|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Exchange|NGN|LOS|LOSTKT|NG|LAGOS TICKETING|OF|A|ACT|4|27-06-2024|0|0|0|0|0|0|103191|103191|0|1050|44219|203000|0|0|0|0|0|0|0|0|-351460|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|103191|103191|0|1050|44219|203000|0|0|0|0|0|0|0|0|0|0|-351460|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Sales|NGN|LOS|AEROCC|NG|CALL CENTER|OF|A|ACT|56|27-06-2024|-30000|0|0|0|0|0|-703875|-673875|0|0|-263599|-2098000|0|0|0|0|-2560|0|0|0|0|0|0|0|3068034|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-703875|-673875|0|0|-263599|-2098000|0|0|0|0|-2560|0|0|0|0|0|0|0|0|0|3068034|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Refund|NGN|LOS|AEROCC|NG|CALL CENTER|OF|A|ACT|10|27-06-2024|24000|0|0|0|0|0|187095|163095|0|0|28655|180000|0|0|0|0|0|0|0|-9000|-9000|0|0|0|-377750|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|187095|163095|0|0|28655|180000|0|0|0|0|0|0|0|0|0|-9000|-9000|0|0|0|-377750|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Sales|NGN|LOS|AERO EXECUTIVE DESK |NG|AERO EXECUTIVE DESK USERS|OF|M|ACT|10|27-06-2024|0|0|0|0|0|0|-291430|-291430|0|0|-66070|-600000|0|0|0|0|0|0|0|0|0|0|0|957500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-291430|-291430|0|0|-66070|-600000|0|0|0|0|0|0|0|0|0|0|0|0|0|957500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Reissue|NGN|IN|B2C|IN|B2C|IN|A|ACT|4|27-06-2024|-2857|0|0|0|0|0|-2857|0|0|0|0|0|0|0|0|0|0|0|0|0|2857|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-2857|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2857|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Exchange|NGN|LOS|AEROCC|NG|CALL CENTER|OF|A|ACT|25|27-06-2024|0|0|0|0|0|0|462639|462639|0|2800|162341|1401000|0|0|0|0|0|0|0|0|-2028780|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-14359|0|0|0|0|0|0|0|0|0|462639|462639|0|2800|162341|1401000|0|0|0|0|0|0|-14359|0|0|0|-2028780|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Sales|NGN|ABV|CAPSTONE TRAVELS|NG|CAPSTONE|AG|A|ACT|1|27-06-2024|0|0|0|0|0|0|-8333|-8333|0|0|-5417|-60000|0|0|0|0|0|0|0|0|0|0|0|0|73750|0|0|0|0|0|0|0|0|0|0|0|0|500|0|0|0|0|0|0|0|0|0|-8333|-8333|0|0|-5417|-60000|0|0|0|0|0|0|500|0|0|0|0|0|0|0|73750|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Exchange|NGN|ABV|ABVTKT|NG|ABUJA TICKETING|OF|A|ACT|3|27-06-2024|0|0|0|0|0|0|19095|19095|0|700|31955|240000|0|0|0|0|0|0|0|0|-291750|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19095|19095|0|700|31955|240000|0|0|0|0|0|0|0|0|0|0|-291750|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
PAX|27-06-2024|DOM|Sales|NGN|LOS|FLO AMORIS|NG|FLO AMORIS TRAVELS|AG|A|ACT|9|27-06-2024|0|0|0|0|0|0|-173808|-173808|0|0|-60692|-360000|0|0|0|0|-480|0|0|0|0|0|0|0|594980|0|0|0|0|0|0|0|0|0|0|0|0|10428|0|0|0|0|0|0|0|0|0|-173808|-173808|0|0|-60692|-360000|0|0|0|0|-480|0|10428|0|0|0|0|0|0|0|594980|0|0|0|0|0|0|0|0|0|0|0|0|0|0
